customer_id,customer_name,email,signup_date,country,city,is_active,created_at
1,Shawn Golden,annasmith@example.org,2024-10-20,UK,Smithshire,True,2026-04-03
2,Gary Johnson,brownchristopher@example.org,2024-06-04,France,Annaton,True,2026-04-03
3,Mitchell Diaz,charles71@example.com,2026-03-13,USA,Christianmouth,True,2026-04-03
4,Ryan Ponce,curtisjon@example.org,2025-06-08,Canada,South Whitneyside,True,2026-04-03
5,Tracy Rhodes,jgarcia@example.org,2025-07-14,Germany,Pughmouth,True,2026-04-03
6,Natasha Wheeler,codymitchell@example.org,2024-06-06,Canada,Vasquezton,True,2026-04-03
7,Sandy Boyd,shannonatkinson@example.com,2024-12-27,Netherlands,Mathisland,True,2026-04-03
8,Karen Marshall,wallaceanthony@example.net,2025-04-05,Australia,Colleenshire,True,2026-04-03
9,Jeffrey Torres,jingram@example.net,2024-09-17,Italy,New Samantha,True,2026-04-03
10,Randall Baxter,fmorris@example.net,2024-09-27,Germany,West April,True,2026-04-03
11,Dennis Diaz,sbryant@example.org,2024-05-20,Australia,North David,True,2026-04-03
12,Michelle Lambert,irose@example.net,2025-12-26,USA,Christopherton,True,2026-04-03
13,Richard Lin,nealpatrick@example.net,2025-05-15,Germany,Travistown,True,2026-04-03
14,Jonathan Roberts,darrenmorris@example.com,2024-09-26,Australia,Evansborough,True,2026-04-03
15,Jason Maddox,gregoryhampton@example.com,2025-01-18,France,New Michelleshire,True,2026-04-03
16,Andrew Scott,garysmith@example.com,2025-10-24,UK,Judyport,True,2026-04-03
17,Kathy Brown,turnersara@example.org,2025-06-20,France,Port Amyport,True,2026-04-03
18,Cody Cook,edwingrant@example.com,2025-12-27,UK,Jonesfort,True,2026-04-03
19,Anthony Rivera,stewartamy@example.org,2026-03-06,Canada,Hernandezland,True,2026-04-03
20,Timothy Branch,kmorales@example.com,2025-08-29,France,Andrewborough,True,2026-04-03
21,Dalton Bishop,sherri48@example.net,2024-11-27,Germany,Johnsonborough,True,2026-04-03
22,Paul Harrison,valerie84@example.org,2025-04-06,Australia,Montgomerymouth,True,2026-04-03
23,Ms. Traci Jones,savannah42@example.net,2026-03-11,France,Hollyview,True,2026-04-03
24,Marie Delacruz,johnsonmary@example.org,2025-05-17,Italy,Timothyview,True,2026-04-02
25,Richard Davis,jennifer46@example.com,2024-11-19,Australia,Laurenhaven,True,2026-04-02
26,Ashley Anderson,powellronald@example.com,2024-11-22,USA,Port John,True,2026-04-02
27,Ronald Henderson,john20@example.com,2026-01-29,Spain,New Michael,True,2026-04-02
28,Joseph Morgan,nduffy@example.net,2025-03-08,Spain,Daughertymouth,True,2026-04-02
29,Andrew Johnson DDS,thenderson@example.com,2024-11-26,India,Port Debrahaven,True,2026-04-02
30,Tyler Stone,ayalalaurie@example.com,2025-03-01,Canada,Petersstad,True,2026-04-02
31,Wanda Mendoza,vwilcox@example.org,2024-07-10,Italy,South Jennifer,True,2026-04-02
32,Meredith Matthews,candice61@example.com,2025-06-18,France,Bernardfort,True,2026-04-02
33,Kristine Kim,eric48@example.net,2024-08-06,Spain,Robinsonberg,True,2026-04-02
34,John Bowman,wbradford@example.com,2024-11-20,Spain,Kristinaburgh,True,2026-04-02
